Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2025,6,1,     0.0,     0.0,     0.0,     0.0,    29.9,    34.5,    27.4,    12.1,    35.2
Changi,2025,6,2,     0.0,     0.0,     0.0,     0.0,    30.0,    33.5,    27.4,     9.9,    27.8
Changi,2025,6,3,     0.2,     0.2,     0.2,     0.2,    28.8,    32.5,    25.9,     8.6,    33.3
Changi,2025,6,4,     0.0,     0.0,     0.0,     0.0,    28.9,    33.0,    26.3,     8.9,    46.3
Changi,2025,6,5,     0.0,     0.0,     0.0,     0.0,    29.2,    32.0,    26.7,     8.5,    33.3
Changi,2025,6,6,     6.0,     3.8,     4.8,     5.0,    28.0,    31.8,    24.7,    11.2,    35.2
Changi,2025,6,7,     0.0,     0.0,     0.0,     0.0,    29.9,    33.3,    27.6,    14.0,    33.3
Changi,2025,6,8,    27.0,    25.0,    25.6,    27.0,    28.4,    32.2,    22.3,     8.7,    59.3
Changi,2025,6,9,     0.0,     0.0,     0.0,     0.0,    29.5,    32.4,    27.7,    10.3,    25.9
Changi,2025,6,10,    13.4,    10.4,    11.6,    13.0,    28.4,    31.5,    24.1,     8.4,    50.0
Changi,2025,6,11,     0.0,     0.0,     0.0,     0.0,    29.6,    32.8,    27.6,     8.6,    29.6
Changi,2025,6,12,     0.0,     0.0,     0.0,     0.0,    30.2,    32.8,    27.6,    10.6,    31.5
Changi,2025,6,13,     0.0,     0.0,     0.0,     0.0,    30.4,    33.4,    28.3,    15.4,    40.7
Changi,2025,6,14,     0.0,     0.0,     0.0,     0.0,    30.1,    33.0,    28.4,    13.2,    33.3
Changi,2025,6,15,     0.0,     0.0,     0.0,     0.0,    30.1,    33.3,    28.1,    13.9,    31.5
Changi,2025,6,16,     0.0,     0.0,     0.0,     0.0,    29.5,    33.4,    27.6,     7.4,    33.3
Changi,2025,6,17,    13.0,    12.4,    12.6,    12.6,    28.2,    32.0,    24.6,     7.0,    31.5
Changi,2025,6,18,     0.0,     0.0,     0.0,     0.0,    28.2,    32.2,    25.8,     6.8,    29.6
Changi,2025,6,19,     0.0,     0.0,     0.0,     0.0,    28.9,    32.8,    25.2,     7.9,    29.6
Changi,2025,6,20,    26.4,    19.6,    24.2,    25.4,    27.5,    30.9,    23.9,     5.2,    35.2
Changi,2025,6,21,     0.0,     0.0,     0.0,     0.0,    29.3,    32.7,    26.3,    10.8,    33.3
Changi,2025,6,22,     0.0,     0.0,     0.0,     0.0,    30.2,    33.2,    27.5,    10.9,    29.6
Changi,2025,6,23,    14.2,    13.2,    14.2,    14.2,    28.2,    30.2,    22.9,     7.8,    42.6
Changi,2025,6,24,     0.0,     0.0,     0.0,     0.0,    29.5,    32.4,    27.2,    10.3,    37.0
Changi,2025,6,25,     0.0,     0.0,     0.0,     0.0,    30.1,    32.4,    28.7,    16.5,    33.3
Changi,2025,6,26,     0.0,     0.0,     0.0,     0.0,    30.3,    32.9,    28.5,    16.4,    40.7
Changi,2025,6,27,     0.0,     0.0,     0.0,     0.0,    30.5,    33.1,    28.7,    13.7,    35.2
Changi,2025,6,28,    25.6,    24.0,    24.2,    25.6,    28.4,    31.9,    22.1,    10.6,    42.6
Changi,2025,6,29,    22.6,    17.8,    20.0,    22.6,    28.6,    32.6,    24.2,    10.9,    48.2
Changi,2025,6,30,     0.0,     0.0,     0.0,     0.0,    29.3,    32.1,    27.0,     8.9,    27.8
