Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2025,7,1,     0.0,     0.0,     0.0,     0.0,    29.8,    32.3,    27.2,    10.3,    27.8
Changi,2025,7,2,    10.6,     7.6,     8.4,     8.4,    27.2,    29.7,    22.7,     9.6,    42.6
Changi,2025,7,3,     0.0,     0.0,     0.0,     0.0,    28.0,    32.6,    24.9,     8.4,    31.5
Changi,2025,7,4,     2.2,     1.4,     1.8,     1.8,    27.8,    32.7,    23.9,     6.8,    42.6
Changi,2025,7,5,     0.2,     0.2,     0.2,     0.4,    28.4,    32.3,    25.5,     8.8,    33.3
Changi,2025,7,6,     0.0,     0.0,     0.0,     0.0,    29.7,    32.6,    27.1,    11.7,    29.6
Changi,2025,7,7,     0.0,     0.0,     0.0,     0.0,    29.5,    32.5,    28.3,    17.1,    35.2
Changi,2025,7,8,    17.6,    16.2,    17.6,    17.6,    28.9,    32.0,    23.7,     7.4,    27.8
Changi,2025,7,9,     5.2,     2.8,     4.4,     5.2,    28.7,    31.6,    24.2,     9.6,    31.5
Changi,2025,7,10,     0.0,     0.0,     0.0,     0.0,    29.3,    31.7,    27.7,    11.5,    29.6
Changi,2025,7,11,    46.8,    42.6,    46.8,    46.8,    28.6,    31.2,    23.3,     9.8,    31.5
Changi,2025,7,12,     2.0,     2.0,     2.0,     2.0,    27.4,    28.6,    22.9,     8.9,    59.3
Changi,2025,7,13,     0.0,     0.0,     0.0,     0.0,    28.7,    32.0,    26.6,     8.6,    37.0
Changi,2025,7,14,     0.0,     0.0,     0.0,     0.0,    28.4,    30.5,    26.4,     9.6,    35.2
Changi,2025,7,15,     0.0,     0.0,     0.0,     0.0,    28.5,    30.6,    27.1,    13.2,    35.2
Changi,2025,7,16,     0.0,     0.0,     0.0,     0.0,    29.9,    32.7,    27.4,    12.2,    31.5
Changi,2025,7,17,     0.0,     0.0,     0.0,     0.0,    29.9,    32.7,    26.8,    10.5,    31.5
Changi,2025,7,18,     0.0,     0.0,     0.0,     0.0,    30.1,    33.3,    27.5,    12.0,    33.3
Changi,2025,7,19,     0.0,     0.0,     0.0,     0.0,    29.9,    32.4,    28.1,    13.8,    33.3
Changi,2025,7,20,     0.0,     0.0,     0.0,     0.0,    29.7,    32.0,    28.1,    12.8,    40.7
Changi,2025,7,21,    25.2,    21.8,    25.0,    25.2,    28.4,    31.2,    24.2,    12.9,    38.9
Changi,2025,7,22,     9.0,     6.2,     9.0,     9.0,    28.8,    32.0,    25.1,    13.1,    35.2
Changi,2025,7,23,     0.0,     0.0,     0.0,     0.0,    29.3,    31.4,    27.1,    11.8,    29.6
Changi,2025,7,24,     0.0,     0.0,     0.0,     0.0,    29.8,    32.5,    27.0,    12.3,    27.8
Changi,2025,7,25,     0.0,     0.0,     0.0,     0.0,    29.7,    32.6,    27.8,    14.3,    38.9
Changi,2025,7,26,     0.0,     0.0,     0.0,     0.0,    28.7,    31.5,    27.4,     9.3,    37.0
Changi,2025,7,27,     0.0,     0.0,     0.0,     0.0,    29.3,    32.5,    26.6,    11.1,    42.6
Changi,2025,7,28,     0.0,     0.0,     0.0,     0.0,    30.1,    33.1,    27.9,    13.6,    44.4
Changi,2025,7,29,     0.0,     0.0,     0.0,     0.0,    30.1,    33.0,    28.1,    17.0,    42.6
Changi,2025,7,30,    11.4,    11.4,    11.4,    11.4,    29.6,    32.6,    25.6,    12.7,    44.4
Changi,2025,7,31,     0.0,     0.0,     0.0,     0.2,    29.3,    31.9,    27.0,    12.8,    37.0
