Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2025,5,1,    11.0,     4.2,     5.0,     5.0,    28.0,    32.3,    24.9,     5.4,    25.9
Changi,2025,5,2,     0.0,     0.0,     0.0,     0.0,    28.7,    31.9,    26.0,    10.5,    35.2
Changi,2025,5,3,     3.8,     3.8,     3.8,     3.8,    29.1,    34.1,    24.2,     7.9,    33.3
Changi,2025,5,4,     5.2,     2.8,     4.6,     5.2,    28.3,    31.3,    23.9,    10.0,    46.3
Changi,2025,5,5,    42.4,    31.8,    38.2,    38.4,    27.8,    30.9,    24.5,     5.9,    33.3
Changi,2025,5,6,     0.0,     0.0,     0.0,     0.0,    29.2,    32.7,    25.6,     9.3,    31.5
Changi,2025,5,7,     0.0,     0.0,     0.0,     0.0,    30.0,    33.1,    27.6,     9.0,    31.5
Changi,2025,5,8,     1.4,     1.2,     1.2,     1.4,    29.5,    33.4,    27.5,     7.2,    24.1
Changi,2025,5,9,     0.0,     0.0,     0.0,     0.0,    29.7,    34.0,    27.2,     9.1,    25.9
Changi,2025,5,10,     9.2,     9.2,     9.2,     9.2,    29.0,    33.0,    25.3,     8.5,    37.0
Changi,2025,5,11,    52.6,    32.4,    48.6,    52.0,    28.5,    34.0,    23.5,     8.3,    44.4
Changi,2025,5,12,     0.0,     0.0,     0.0,     0.0,    28.7,    32.0,    26.7,     7.2,    20.4
Changi,2025,5,13,     0.2,     0.2,     0.2,     0.2,    27.8,    32.7,    26.4,     6.9,    35.2
Changi,2025,5,14,    31.8,    22.4,    30.8,    31.4,    27.3,    30.8,    22.1,     4.6,    38.9
Changi,2025,5,15,    13.0,     8.8,    11.8,    12.0,    27.5,    32.8,    25.6,     6.9,    38.9
Changi,2025,5,16,     0.0,     0.0,     0.0,     0.0,    28.8,    32.6,    25.8,     9.6,    25.9
Changi,2025,5,17,     0.0,     0.0,     0.0,     0.0,    29.6,    33.9,    27.3,    10.3,    29.6
Changi,2025,5,18,    36.8,    21.6,    27.6,    28.8,    27.6,    32.3,    24.2,     9.6,    42.6
Changi,2025,5,19,     1.6,     0.6,     0.6,     1.0,    28.1,    32.0,    25.5,     6.9,    29.6
Changi,2025,5,20,     1.4,     1.4,     1.4,     1.4,    29.1,    32.5,    27.0,    10.3,    46.3
Changi,2025,5,21,     0.0,     0.0,     0.0,     0.0,    29.3,    33.7,    26.6,     9.2,    25.9
Changi,2025,5,22,     1.4,     1.4,     1.4,     1.4,    27.6,    31.7,    26.4,     7.3,    27.8
Changi,2025,5,23,     0.0,     0.0,     0.0,     0.0,    29.9,    34.3,    26.3,     7.3,    40.7
Changi,2025,5,24,     0.0,     0.0,     0.0,     0.0,    29.7,    33.5,    27.2,    10.9,    31.5
Changi,2025,5,25,     0.0,     0.0,     0.0,     0.0,    28.9,    34.2,    26.8,    10.5,    31.5
Changi,2025,5,26,     0.0,     0.0,     0.0,     0.0,    29.2,    33.9,    26.0,    10.7,    27.8
Changi,2025,5,27,     0.0,     0.0,     0.0,     0.0,    29.3,    33.8,    26.2,     9.3,    27.8
Changi,2025,5,28,     0.0,     0.0,     0.0,     0.0,    29.5,    33.7,    25.9,    10.1,    31.5
Changi,2025,5,29,     6.0,     1.4,     2.4,     4.0,    27.0,    30.5,    24.2,     9.0,    44.4
Changi,2025,5,30,     0.0,     0.0,     0.0,     0.0,    28.9,    32.1,    25.8,     9.6,    33.3
Changi,2025,5,31,     0.6,     0.6,     0.6,     0.6,    29.4,    33.9,    26.2,    10.1,    46.3
